transaction_id,processing_date,gross_amount,operator_fee,net_amount
TX_202606_00001,2026-06-01 11:40:31,507.93,10.16,497.77
TX_202606_00002,2026-06-03 17:47:29,1137.8,22.76,1115.04
TX_202606_00003,2026-06-01 19:05:26,495.6,9.91,485.69
TX_202606_00004,2026-06-02 21:45:24,328.08,6.56,321.52
TX_202606_00005,2026-06-05 09:34:27,858.86,17.18,841.68
TX_202606_00006,2026-06-02 15:16:22,1310.35,26.21,1284.14
TX_202606_00007,2026-06-03 04:16:02,350.51,7.01,343.5
TX_202606_00008,2026-06-05 00:20:48,1117.04,22.34,1094.7
TX_202606_00009,2026-06-03 14:51:14,713.44,14.27,699.17
TX_202606_00010,2026-06-02 22:29:28,493.54,9.87,483.67
TX_202606_00011,2026-06-02 11:42:42,1310.39,32.76,1277.63
TX_202606_00012,2026-06-02 19:36:15,327.56,6.55,321.01
TX_202606_00013,2026-06-04 08:49:25,125.23,2.5,122.73
TX_202606_00014,2026-06-03 01:14:20,594.33,11.89,582.44
TX_202606_00015,2026-06-02 10:42:42,1082.92,21.66,1061.26
TX_202606_00016,2026-06-05 20:28:35,759.89,15.2,744.69
TX_202606_00017,2026-06-05 14:07:24,440.45,8.81,431.64
TX_202606_00018,2026-06-04 02:01:15,684.81,13.7,671.11
TX_202606_00019,2026-06-01 20:08:17,1408.27,28.17,1380.1
TX_202606_00020,2026-06-03 16:14:58,1204.17,24.08,1180.09
TX_202606_00021,2026-06-03 10:49:40,1341.32,26.83,1314.49
TX_202606_00022,2026-06-05 17:47:53,870.94,17.42,853.52
TX_202606_00023,2026-06-02 22:17:12,171.93,3.44,168.49
TX_202606_00024,2026-06-05 06:24:38,584.8,11.7,573.1
TX_202606_00025,2026-06-01 21:42:02,594.04,11.88,582.16
TX_202606_00026,2026-06-05 01:34:33,1399.63,27.99,1371.64
TX_202606_00027,2026-06-05 07:44:16,1057.28,21.15,1036.13
TX_202606_00028,2026-06-05 21:27:45,1330.52,26.61,1303.91
TX_202606_00029,2026-06-04 02:32:33,15.06,0.3,14.76
TX_202606_00030,2026-06-02 23:36:53,102.55,2.56,99.99
TX_202606_00031,2026-06-02 12:11:53,243.82,4.88,238.94
TX_202606_00032,2026-06-03 04:58:38,862.53,17.25,845.28
TX_202606_00033,2026-06-04 05:36:38,128.17,2.56,125.61
TX_202606_00034,2026-06-03 07:33:20,20.85,0.42,20.43
TX_202606_00035,2026-06-02 11:25:31,971.15,19.42,951.73
TX_202606_00036,2026-06-01 03:07:02,942.42,18.85,923.57
TX_202606_00037,2026-06-01 02:59:33,1286.68,25.73,1260.95
TX_202606_00038,2026-06-05 20:57:07,90.25,1.8,88.45
TX_202606_00039,2026-06-03 13:54:50,931.32,18.63,912.69
TX_202606_00040,2026-06-03 15:15:33,1331.8,26.64,1305.16
TX_202606_00041,2026-06-02 00:21:56,1170.94,23.42,1147.52
TX_202606_00042,2026-06-04 00:01:35,329.17,6.58,322.59
TX_202606_00043,2026-06-03 23:41:10,716.43,14.33,702.1
TX_202606_00044,2026-06-01 22:46:19,621.63,12.43,609.2
TX_202606_00045,2026-06-01 04:26:32,1160.2,23.2,1137.0
TX_202606_00046,2026-06-01 10:19:40,1076.08,21.52,1054.56
TX_202606_00047,2026-06-02 07:05:34,361.13,7.22,353.91
TX_202606_00048,2026-06-02 13:27:32,830.09,16.6,813.49
TX_202606_00049,2026-06-04 03:09:41,1289.05,25.78,1263.27
TX_202606_00050,2026-06-05 21:02:05,366.21,7.32,358.89
TX_202606_00051,2026-06-01 06:55:20,56.19,1.12,55.07
TX_202606_00052,2026-06-03 06:34:49,457.83,9.16,448.67
TX_202606_00053,2026-06-03 06:58:25,1329.74,26.59,1303.15
TX_202606_00054,2026-06-02 09:58:45,963.78,19.28,944.5
TX_202606_00055,2026-06-02 16:31:37,392.34,7.85,384.49
TX_202606_00056,2026-06-02 10:22:28,1378.7,27.57,1351.13
TX_202606_00057,2026-06-04 02:01:39,10.03,0.2,9.83
TX_202606_00058,2026-06-04 04:03:58,509.52,10.19,499.33
TX_202606_00059,2026-06-03 19:37:36,1147.05,22.94,1124.11
TX_202606_00060,2026-06-02 17:52:54,1129.51,22.59,1106.92
TX_202606_00061,2026-06-02 12:58:38,318.57,6.37,312.2
TX_202606_00062,2026-06-02 19:08:21,502.13,10.04,492.09
TX_202606_00063,2026-06-03 23:34:17,1286.54,25.73,1260.81
TX_202606_00064,2026-06-01 14:47:12,498.22,9.96,488.26
TX_202606_00065,2026-06-05 06:13:26,725.46,14.51,710.95
TX_202606_00066,2026-06-05 06:13:06,32.03,0.64,31.39
TX_202606_00067,2026-06-03 21:42:58,572.83,11.46,561.37
TX_202606_00068,2026-06-01 19:03:20,361.02,7.22,353.8
TX_202606_00069,2026-06-02 19:57:16,321.96,6.44,315.52
TX_202606_00070,2026-06-02 00:50:15,1408.13,28.16,1379.97
TX_202606_00071,2026-06-05 07:55:19,1173.41,23.47,1149.94
TX_202606_00072,2026-06-02 15:05:59,63.73,1.27,62.46
TX_202606_00073,2026-06-04 23:03:23,1337.98,26.76,1311.22
TX_202606_00074,2026-06-03 20:36:35,1428.98,28.58,1400.4
TX_202606_00075,2026-06-01 16:17:57,1042.46,20.85,1021.61
TX_202606_00076,2026-06-05 06:46:55,1281.92,25.64,1256.28
TX_202606_00077,2026-06-02 04:39:41,408.82,8.18,400.64
TX_202606_00078,2026-06-05 22:14:09,351.89,7.04,344.85
TX_202606_00079,2026-06-04 05:59:59,1389.72,27.79,1361.93
TX_202606_00080,2026-06-04 03:23:24,814.54,16.29,798.25
TX_202606_00081,2026-06-01 16:45:40,1018.02,20.36,997.66
TX_202606_00082,2026-06-04 15:44:56,1462.92,29.26,1433.66
TX_202606_00083,2026-06-03 11:38:18,474.32,9.49,464.83
TX_202606_00084,2026-06-02 06:12:44,999.84,20.0,979.84
TX_202606_00085,2026-06-01 16:20:40,85.57,1.71,83.86
TX_202606_00086,2026-06-02 12:42:56,1410.09,28.2,1381.89
TX_202606_00087,2026-06-02 21:43:11,907.84,18.16,889.68
TX_202606_00088,2026-06-01 08:07:59,1352.68,27.05,1325.63
TX_202606_00089,2026-06-02 05:58:03,671.88,13.44,658.44
TX_202606_00090,2026-06-01 18:47:57,1252.13,25.04,1227.09
TX_202606_00091,2026-06-01 11:52:15,34.65,0.69,33.96
TX_202606_00092,2026-06-01 23:26:00,1145.46,22.91,1122.55
TX_202606_00093,2026-06-05 10:19:15,1177.64,23.55,1154.09
TX_202606_00094,2026-06-01 01:19:48,507.28,10.15,497.13
TX_202606_00095,2026-06-01 17:09:13,1438.99,28.78,1410.21
TX_202606_00096,2026-06-02 13:27:59,800.93,16.02,784.91
TX_202606_00097,2026-06-02 09:19:54,21.03,0.42,20.61
